feature1,Rv0022c,Rv0023,Rv0042c,Rv0047c,Rv0054,Rv0067c,Rv0078,Rv0081,Rv0117,Rv0135c,Rv0158,Rv0195,Rv0232,Rv0238,Rv0302,Rv0324,Rv0330c,Rv0353,Rv0445c,Rv0474,Rv0494,Rv0602c,Rv0623,Rv0653c,Rv0674,Rv0767c,Rv0827c,Rv0880,Rv0891c,Rv0894,Rv0967,Rv1049,Rv1176c,Rv1186c,Rv1189,Rv1219c,Rv1332--Rv1828--Rv0981,Rv1359,Rv1379,Rv1395,Rv1404,Rv1423,Rv1460,Rv1473A,Rv1556,Rv1657,Rv1674c,Rv1675c,Rv1719,Rv1773c,Rv1846c,Rv1956,Rv1990c,Rv1994c,Rv2009,Rv2011c,Rv2017,Rv2021c,Rv2034,Rv2069,Rv2250c,Rv2359,Rv2488c,Rv2506,Rv2595,Rv2642,Rv2745c,Rv2760c,Rv2779c,Rv2827c,Rv3050c,Rv3066,Rv3082c,Rv3095,Rv3124,Rv3133c,Rv3160c,Rv3164c,Rv3167c,Rv3173c,Rv3183,Rv3219,Rv3223c,Rv3246c,Rv3249c,Rv3260c,Rv3291c,Rv3405c,Rv3414c,Rv3416,Rv3417c,Rv3557c,Rv3597c,Rv3676,Rv3830c,Rv3833,Rv3849,Rv3855,Rv3862c,Rv3911
Rv0022c,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023333333333333317,0.0,0.0,0.0,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0023,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,-0.1266666666666667,-0.003333333333333355,-0.020000000000000018,0.0,0.2833333333333333,0.0,0.0,0.0,0.0,0.11333333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.2866666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,-0.003333333333333355
Rv0042c,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,-0.00666666666666671,0.0,-0.020000000000000018,0.0,-0.013333333333333308,0.0,0.0,0.0,0.0,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,0.0,-0.013333333333333308,0.0,-0.023333333333333317
Rv0047c,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,0.0,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,0.010000000000000009,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.006666666666666654,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.020000000000000018,-0.003333333333333355,0.0,-0.003333333333333355,0.0,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.016666666666666663,-0.003333333333333355,0.0,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,0.0,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,0.036666666666666625,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.013333333333333308,-0.003333333333333355,-0.003333333333333355,0.0,-0.016666666666666663,-0.003333333333333355,-0.003333333333333355,-0.0033333333333332993,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.006666666666666654,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.003333333333333355,-0.0033333333333332993,-0.003333333333333355,-0.003333333333333355,-0.0033333333333332993,0.026666666666666616,-0.003333333333333355,0.0,-0.03999999999999998,-0.003333333333333355,-0.010000000000000009,-0.013333333333333308,-0.003333333333333355
Rv0054,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3933333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10666666666666669,-0.023333333333333317,-0.006666666666666654,0.29666666666666663,0.0,0.0,0.0,0.0,0.0,0.2633333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016666666666666663,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.026666666666666616,-0.003333333333333355,0.0,0.0,0.039999999999999925,0.0,0.3733333333333333,0.17666666666666664,0.0,0.31999999999999995,0.0,0.2833333333333333
Rv0067c,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,-0.046666666666666634,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,-0.023333333333333317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050000000000000044,0.0,0.0,-0.03999999999999998,0.0,0.0,0.0,0.2366666666666667
Rv0078,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.0,-0.013333333333333308,0.0,-0.030000000000000027,0.0,0.0,0.0,0.0,0.05666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020000000000000018,0.0,-0.003333333333333355,-0.006666666666666654,0.0
Rv0081,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,-0.010000000000000009,0.0,-0.016666666666666663,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.16000000000000003,0.0,0.0,0.0,0.0,-0.006666666666666654,-0.03999999999999998,0.0,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.20999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026666666666666672,-0.016666666666666663,0.07999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,-0.020000000000000018,0.0,-0.006666666666666654,-0.016666666666666663,0.0,0.0,0.0,0.32666666666666666,0.0,0.0,0.0,-0.030000000000000027,0.0,0.0,0.0,-0.013333333333333308,0.0,0.3566666666666667,-0.033333333333333326,0.0,-0.016666666666666663,-0.026666666666666672,0.27
Rv0117,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,-0.020000000000000018,0.0,0.0,0.0,0.0,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,-0.020000000000000018,0.0,0.0,0.0,0.0
Rv0135c,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
